age,experience,licence,NCD,PostcodeArea,make,EngineCC,fuel,value,vehicle_age,ownership,vehicle_kept,mileage,use,claims,price,train_test
29,10,Full,2,LN,AUDI,1197,P,5500,6,2,Drive,10000,Business,0,725,0
36,12,Full,0,TR,PEUGEOT,1997,D,1100,13,0,Road,3000,SDP&C,0,552,0
19,1,Full,1,RG,AUDI,1896,D,4600,8,0,Road,4000,SDP,0,1486,0
52,36,Full,18,DA,NISSAN,3499,P,2800,14,0,Drive,10000,SDP&C,0,310,0
83,50,Full,10,DY,VAUXHALL,1398,P,3100,5,1,Garage,6000,SDP,0,589,0
53,31,Full,20,DH,VOLVO,2400,D,28100,0,0,Drive,10000,SDP&C,0,324,0
27,10,Full,0,RG,FORD,1560,D,2200,8,0,Drive,6000,SDP,1,1281,0
20,1,Full,1,PH,VAUXHALL,1229,P,7700,2,1,Drive,8000,SDP&C,0,784,0
52,15,Full,8,BN,VOLKSWAGEN,1896,D,2700,10,0,Garage,1000,SDP,0,609,0
45,21,Full,8,SS,TOYOTA,1998,P,200,20,6,Drive,1000,SDP,0,330,0
77,41,Full,12,WF,FORD,1398,D,600,14,13,Road,4000,SDP,0,315,0
36,15,Full,12,S,HONDA,2204,D,3900,8,0,Drive,7000,SDP&C,0,431,0
38,12,Full,0,RM,LANDROVER,1951,D,1700,13,2,Drive,2000,SDP,0,1484,0
26,0,Provisional,0,NE,VAUXHALL,998,P,300,14,0,Drive,5000,SDP&C,0,782,0
52,26,Full,13,BT,VOLVO,2401,D,2400,11,9,Drive,8000,Business,0,266,0
52,29,Full,10,WS,VAUXHALL,998,P,8300,1,0,Drive,5000,SDP,2,248,0
42,24,Full,10,BN,ROVER,1950,D,300,16,1,Drive,3000,SDP,0,293,0
30,11,Full,5,AB,MITSUBISHI,2477,D,3100,9,0,Garage,6000,SDP,0,463,0
31,12,Full,12,DY,FORD,1596,P,1400,12,7,Other,10000,SDP&C,0,326,0
31,0,Full,0,G,FORD,1242,P,3400,6,0,Road,5000,SDP&C,0,772,0
73,46,Full,13,DE,FORD,1560,D,1600,12,11,Drive,4000,SDP,0,211,0
32,0,Full,0,BB,FORD,1560,D,800,10,0,Road,3000,SDP,0,2803,0
47,30,Full,9,RG,NISSAN,1197,P,13200,2,0,Drive,10000,SDP&C,1,292,0
61,35,Full,20,PR,HYUNDAI,1495,P,100,16,1,Garage,2000,SDP,0,597,0
67,45,Full,9,HU,JAGUAR,2495,P,600,13,2,Road,2000,SDP,0,234,0
52,30,Full,13,CF,DACIA,898,P,4600,1,0,Road,8000,SDP&C,0,239,0
32,11,Full,8,BS,FORD,1896,D,1500,13,0,Garage,2000,SDP,0,1683,0
